date,team1,team1_score,team2,team2_score,map,event,winner,win_margin
6/2/19,HellRaisers,16,BIG,8,Dust2,IEM Sydney 2019 Europe Closed Qualifier,BIG,8
6/2/19,BIG,16,HellRaisers,11,Mirage,IEM Sydney 2019 Europe Closed Qualifier,BIG,5
6/2/19,Chaos,16,Nemiga,9,Mirage,OGA Counter PIT Season 4,Nemiga,7
6/2/19,Nemiga,7,Chaos,16,Overpass,OGA Counter PIT Season 4,Nemiga,9
6/2/19,Nemiga,16,Chaos,4,Dust2,OGA Counter PIT Season 4,Chaos,12
6/2/19,expert,2,ENCE,16,Dust2,ESEA MDL Season 30 Europe,expert,14
6/2/19,x6tence Galaxy,16,Tricked,4,Overpass,United Masters League,Tricked,12
6/2/19,Tricked,4,x6tence Galaxy,16,Mirage,United Masters League,Tricked,12
6/2/19,AGO,14,unknown,16,Inferno,LOOT.BET HotShot Series Season 1,unknown,2
6/2/19,unknown,7,AGO,16,Train,LOOT.BET HotShot Series Season 1,unknown,9
6/2/19,unknown,16,AGO,9,Overpass,LOOT.BET HotShot Series Season 1,AGO,7
6/2/19,3DMAX,16,North,8,Dust2,IEM Sydney 2019 Europe Closed Qualifier,North,8
6/2/19,AVANGAR,14,Natus Vincere,16,Mirage,GG.BET ICE Challenge,Natus Vincere,2
6/2/19,AVANGAR,8,Natus Vincere,16,Dust2,GG.BET ICE Challenge,AVANGAR,8
6/2/19,AVANGAR,19,Natus Vincere,17,Overpass,GG.BET ICE Challenge,AVANGAR,2
6/2/19,BIG,16,Valiance,10,Train,IEM Sydney 2019 Europe Closed Qualifier,BIG,6
